Key_in,key_in_label
PlannedContainer,75
type,181
count,127
Party,68
type,181
id,140
PlannedContainer,75
Party,68
id,140
statuscode,176
timestamp,177
timestamp,177
Party,68
id,140
name,147
name,147
Kontraktposition,45
GP,38
Parittsort,67
Lieferdatumbis,47
Containerfaktor,25
Deklaration,26
Liefermonatvon,48
Produktgruppe,78
ArtikelbezeichnungEnglisch,3
Artikelnummer,5
Produktgruppe,78
Produktgruppe,78
Produktgruppe,78
Paritt,66
Lager,46
GP,38
IhreZeichen,41
Kontraktposition,45
Eigenmarke,32
Incoterm,42
OrigCode,57
DestCode,30
DepFrom,27
DepTo,28
ETA,31
VendorCode,97
ContainerType,23
ContainerCount,20
Quantity,80
NestleCommodityType,53
SAPRef,84
CommodityName,19
PackageCount,63
PackageType,64
Quantity,80
PlannedContainer,75
PlannedContainer,75
type,181
count,127
Party,68
id,140
Party,68
id,140
Party,68
id,140
name,147
country,128
city,118
name,147
country,128
city,118
name,147
country,128
city,118
Party,68
type,181
id,140
name,147
country,128
city,118
Party,68
id,140
CargoDestination,14
Party,68
id,140
Party,68
id,140
name,147
Produktgruppe,78
Artikelnummer,5
Artikelbezeichnung_Englisch,4
PlanMenge1,74
package_type,158
weight,184
incoterm,141
Liefermonatvon,48
Lieferdatumbis,47
Vertreter,99
GP,38
Lager,46
FND,36
type,181
weight,184
Parit�tsort,67
GP,38
orderReference,154
remarks,169
companyId,122
parties,161
alias,104
references,167
parties,161
type,181
alias,104
references,167
parties,161
alias,104
type,181
references,167
alias,104
containerTypes,124
type,181
count,127
weight,184
remarks,169
parties,161
alias,104
references,167
alias,104
userId,182
items,142
commodityCode,121
articleCode,107
articleDescription,108
packages,159
packageType,157
volume,183
grossWeight,136
alias,104
incoterm,141
departureFrom,130
departureTo,131
arrivalFrom,105
arrivalTo,106
movementType,145
parties,161
alias,104
alias,104
bookingNumber,112
cargooReference,116
blNumber,111
incoterm,141
movementType,145
departureFrom,130
departureTo,131
etd,133
ata,109
atd,110
containerTypes,124
shipmentId,172
type,181
count,127
weight,184
containers,125
id,140
bookingNumber,112
events,134
shipmentId,172
number,150
type,181
items,142
shipmentId,172
cargooReference,116
shipmentStatus,174
commodityCode,121
articleDescription,108
pieces,163
packages,159
packageType,157
volume,183
grossWeight,136
netWeight,148
hsCode,139
sequenceNumber,170
etd,133
atd,110
eta,132
ata,109
transportMode,180
conveyanceReferenceNumber,126
sequenceNumber,170
etd,133
atd,110
eta,132
ata,109
transportMode,180
conveyanceReferenceNumber,126
sequenceNumber,170
etd,133
atd,110
eta,132
ata,109
transportMode,180
conveyanceReferenceNumber,126
carrierCode,117
parties,161
name,147
alias,104
remarks,169
type,181
orderReference,154
id,140
shipmentContainerId,171
code,119
date,129
codeProvider,120
locationCode,143
locationName,144
plannedDate,164
actualDate,103
blNumber,111
companyId,122
businessPartnerId,113
id,140
id,140
sourceId,175
type,181
alias,104
references,167
containerTypes,124
type,181
count,127
parties,161
orderType,155
userId,182
items,142
articleCode,107
articleDescription,108
pieces,163
packages,159
packageType,157
volume,183
grossWeight,136
netWeight,148
weight,184
hsCode,139
fnd,135
code,119
departureFrom,130
departureTo,131
arrivalFrom,105
arrivalTo,106
movementType,145
incoterm,141
remarks,169
PartyFreightPayer,70
PartyNotify,71
PartyNotify1,72
PoRCode,77
FnDCode,37
ContainerType1,24
PartyShipper,73
PartyConsignee,69
ArticleDescription,2
Commodity,18
Packages,65
PackageType,64
GrossWeightkg,39
NetWeightkg1,54
Incoterm,42
ShippingWindowFrom,88
ShippingWindowTo,89
LoadingType,49
Buyer,12
BuyerOrderReference,13
Supplier,90
SupplierOrderReference,91
ContainerCount1,21
GrossWeightkg,39
VendorAccountNo,96
Plant,76
Origin,58
Plant,76
VendorAccountNo,96
VendorAccountNo,96
ArticleCode,0
Certification,17
BagsperBatch,10
VendorRef,98
OriginalDelDate,59
OriginalDelDate,59
PONumber,60
TCDocumentNumber,93
OriginalDelDate,59
incoterm,141
volume,183
grossWeight,136
netWeight,148
hsCode,139
remarks,169
originCountry,156
code,119
name,147
por,165
code,119
packageType,157
fnd,135
code,119
departureFrom,130
departureTo,131
arrivalFrom,105
arrivalTo,106
parties,161
name,147
type,181
partnerName,162
references,167
id,140
packages,159
pieces,163
articleDescription,108
movementType,145
containerTypes,124
type,181
count,127
weight,184
reefer,166
haulage,137
items,142
relatedItems,168
orderId,151
cargooReference,116
shipmentPlannedTeus,173
shipmentStatus,174
commodityCode,121
articleCode,107
articleDescription,108
pieces,163
packages,159
packageType,157
volume,183
grossWeight,136
netWeight,148
hsCode,139
totalTeus,178
commodityCode,121
articleCode,107
orderType,155
companyName,123
companyId,122
companyId,122
companyId,122
orderIntegrationId,152
weight,184
count,127
type,181
containerTypes,124
references,167
companyName,123
packageType,157
packages,159
pieces,163
articleDescription,108
sequenceNumber,170
articleCode,107
commodityCode,121
items,142
volume,183
grossWeight,136
hsCode,139
companyId,122
type,181
parties,161
movementType,145
arrivalTo,106
arrivalFrom,105
departureTo,131
departureFrom,130
code,119
type,181
fnd,135
code,119
type,181
por,165
incoterm,141
netWeight,148
ContainerNumber,22
ContainerType,23
Weight,102
ContainerCount,20
ContainerType,23
netweight,149
netweight,149
Package,62
packagetype,160
ArticleDesc,1
orderRef,153
orderRef,153
FND,36
FND,36
POR,61
POR,61
Vessel,100
BookingNumber,11
Incoterm,42
ETA,31
FND,36
POR,61
Carrier,15
ContainerType,23
ContainerNumber,22
OrderRef,55
BLNumber,9
OrderRef,55
ShipperCode,86
BLNumber,9
BookingNumber,11
Voyage,101
Vessel,100
BLDate,8
BLDate,8
POR,61
CarrierCode,16
Incoterms,43
Material,50
MaterialDescriptions,51
Qty,79
MaterialGroup,52
Qty,79
FN,35
FN,35
FN,35
Vendor,95
